SED freq flux
0 147.04 47999.637138
0 150.04 47439.7316124
0 153.04 46870.8739736
0 156.04 46298.0659756
0 159.04 45725.2715422
0 162.04 45155.5901242
0 165.04 44591.4111541
0 168.04 44034.5473545
0 171.04 43486.3472202
0 174.04 42947.7883684
0 177.04 42419.5540658
0 180.04 41902.0953881
0 183.04 41395.6813553
0 186.04 40900.4391515
0 189.04 40416.3862544
0 192.04 39943.4560133
0 195.04 39481.5179541
0 198.04 39030.3938566
0 201.04 38589.8704513
0 204.04 38159.7094228
0 207.04 37739.6552656
0 210.04 37329.4414339
0 213.04 36928.7951349
0 216.04 36537.4410452
0 219.04 36155.1041722
0 222.04 35781.5120383
0 225.04 35416.3963286
0 228.04 35059.4941132
0 231.04 34710.5487349
0 234.04 34369.310432
0 237.04 34035.5367537
0 240.04 33708.9928122
0 243.04 33389.4514088
0 246.04 33076.6930608
0 249.04 32770.5059535
0 252.04 32470.6858349
0 255.04 32177.0358666
0 258.04 31889.3664442
0 261.04 31607.4949945
0 264.04 31331.2457577
0 267.04 31060.4495594
0 270.04 30794.9435781
0 273.04 30534.5711098
0 276.04 30279.1813345
0 279.04 30028.6290848
