starID,time,mass,x,y,z
1,535.590,0.75,-1.341,-2.774,-0.096
2,535.590,1.20,2.222,8.111,0.997
3,535.590,0.70,-1.324,-2.969,0.030
4,535.590,1.10,0.527,-2.584,-1.013
0,536.178,1.00,-1.321,-2.780,-0.036
1,536.178,0.75,-1.410,-2.783,-0.217
2,536.178,1.20,2.228,8.173,1.004
3,536.178,0.70,-1.233,-3.025,0.150
4,536.178,1.10,0.517,-2.567,-1.010
0,536.765,1.00,-1.358,-2.853,-0.103
1,536.765,0.75,-1.423,-2.794,-0.225
2,536.765,1.20,2.233,8.236,1.011
3,536.765,0.70,-1.155,-3.041,0.236
4,536.765,1.10,0.504,-2.550,-1.006
0,537.352,1.00,-1.385,-2.859,-0.140
1,537.352,0.75,-1.435,-2.909,-0.252
2,537.352,1.20,2.239,8.298,1.017
